Elevation_deg,PathLoss_dB,SINR_dB,Band
5.0,166.38412783034363,-24.52413354161719,S-Band (2 GHz)
5.4748603351955305,166.17638795815773,-24.316393669431292,S-Band (2 GHz)
5.949720670391061,165.97730770931713,-24.11731342059069,S-Band (2 GHz)
6.424581005586592,165.78518163134103,-23.925187342614592,S-Band (2 GHz)
6.899441340782123,165.59878638038523,-23.738792091658794,S-Band (2 GHz)
7.374301675977653,165.41722472325552,-23.557230434529075,S-Band (2 GHz)
7.849162011173185,165.23982614981873,-23.379831861092285,S-Band (2 GHz)
8.324022346368714,165.06608149557567,-23.206087206849233,S-Band (2 GHz)
8.798882681564246,164.89559873146064,-23.035604442734197,S-Band (2 GHz)
9.273743016759777,164.7280723385845,-22.868078049858056,S-Band (2 GHz)
9.748603351955307,164.56326164000262,-22.703267351276182,S-Band (2 GHz)
10.223463687150838,164.40097518089712,-22.54098089217068,S-Band (2 GHz)
10.69832402234637,164.2410592810258,-22.381064992299358,S-Band (2 GHz)
11.1731843575419,164.0833895208218,-22.22339523209537,S-Band (2 GHz)
11.64804469273743,163.9278643261435,-22.06787003741705,S-Band (2 GHz)
12.122905027932962,163.77440007800092,-21.914405789274483,S-Band (2 GHz)
12.597765363128492,163.62292734626843,-21.762933057541986,S-Band (2 GHz)
13.072625698324023,163.47338796263233,-21.61339367390589,S-Band (2 GHz)
13.547486033519553,163.32573272760925,-21.46573843888281,S-Band (2 GHz)
14.022346368715084,163.17991960181757,-21.319925313091133,S-Band (2 GHz)
14.497206703910614,163.03591227073352,-21.17591798200708,S-Band (2 GHz)
14.972067039106145,162.89367900008668,-21.033684711360237,S-Band (2 GHz)
15.446927374301676,162.7531917192639,-20.893197430537455,S-Band (2 GHz)
15.921787709497206,162.61442528490164,-20.754430996175202,S-Band (2 GHz)
16.39664804469274,162.47735688781023,-20.61736259908379,S-Band (2 GHz)
16.87150837988827,162.34196557458142,-20.481971285854982,S-Band (2 GHz)
17.3463687150838,162.20823186142837,-20.348237572701933,S-Band (2 GHz)
17.821229050279328,162.07613742253457,-20.21614313380813,S-Band (2 GHz)
18.29608938547486,161.94566483882312,-20.08567055009668,S-Band (2 GHz)
18.77094972067039,161.8167973958782,-19.95680310715177,S-Band (2 GHz)
19.245810055865924,161.68951892195105,-19.829524633224608,S-Band (2 GHz)
19.720670391061454,161.56381365871943,-19.703819369992985,S-Band (2 GHz)
20.195530726256983,161.439666158842,-19.579671870115547,S-Band (2 GHz)
20.670391061452513,161.31706120544817,-19.45706691672173,S-Band (2 GHz)
21.145251396648046,161.1959837495801,-19.335989460853668,S-Band (2 GHz)
21.620111731843576,161.07641886231866,-19.21642457359222,S-Band (2 GHz)
22.094972067039105,160.95835169889727,-19.098357410170834,S-Band (2 GHz)
22.56983240223464,160.8417674725807,-18.98177318385426,S-Band (2 GHz)
23.044692737430168,160.72665143646816,-18.86665714774172,S-Band (2 GHz)
23.519553072625698,160.61298887169815,-18.75299458297171,S-Band (2 GHz)
23.994413407821227,160.50076508079255,-18.640770792066107,S-Band (2 GHz)
24.46927374301676,160.38996538509366,-18.52997109636722,S-Band (2 GHz)
24.94413407821229,160.2805751254276,-18.42058083670115,S-Band (2 GHz)
25.41899441340782,160.172579665276,-18.312585376549563,S-Band (2 GHz)
25.893854748603353,160.0659643958632,-18.205970107136764,S-Band (2 GHz)
26.368715083798882,159.96071474266859,-18.100720453942145,S-Band (2 GHz)
26.843575418994412,159.85681617296228,-17.996821884235843,S-Band (2 GHz)
27.318435754189945,159.75425420403397,-17.89425991530753,S-Band (2 GHz)
27.793296089385475,159.6530144118453,-17.793020123118865,S-Band (2 GHz)
28.268156424581004,159.55308243988833,-17.693088151161888,S-Band (2 GHz)
28.743016759776538,159.45444400807395,-17.59444971934751,S-Band (2 GHz)
29.217877094972067,159.3570849215107,-17.497090632784264,S-Band (2 GHz)
29.692737430167597,159.26099107906361,-17.400996790337175,S-Band (2 GHz)
30.16759776536313,159.1661484816081,-17.306154192881664,S-Band (2 GHz)
30.64245810055866,159.07254323991435,-17.212548951187912,S-Band (2 GHz)
31.11731843575419,158.9801615821143,-17.120167293387865,S-Band (2 GHz)
31.592178770949722,158.8889898607188,-17.028995571992354,S-Band (2 GHz)
32.06703910614525,158.79901455916314,-16.9390202704367,S-Band (2 GHz)
32.54189944134078,158.71022229786846,-16.850228009142015,S-Band (2 GHz)
33.01675977653631,158.62259983981602,-16.762605551089578,S-Band (2 GHz)
33.49162011173185,158.5361340956355,-16.676139806909063,S-Band (2 GHz)
33.96648044692738,158.450812128215,-16.590817839488565,S-Band (2 GHz)
34.44134078212291,158.36662115684388,-16.506626868117436,S-Band (2 GHz)
34.91620111731844,158.28354856090237,-16.423554272175934,S-Band (2 GHz)
35.391061452513966,158.20158188311487,-16.34158759438843,S-Band (2 GHz)
35.865921787709496,158.12070883238496,-16.260714543658523,S-Band (2 GHz)
36.340782122905026,158.04091728623146,-16.18092299750502,S-Band (2 GHz)
36.815642458100555,157.96219529284616,-16.10220100411972,S-Band (2 GHz)
37.29050279329609,157.88453107279318,-16.02453678406674,S-Band (2 GHz)
37.76536312849162,157.80791302037144,-15.947918731645004,S-Band (2 GHz)
38.24022346368715,157.73232970466026,-15.872335415933819,S-Band (2 GHz)
38.71508379888268,157.65776987026874,-15.797775581542297,S-Band (2 GHz)
39.18994413407821,157.5842224378087,-15.724228149082265,S-Band (2 GHz)
39.66480446927374,157.51167650411082,-15.651682215384383,S-Band (2 GHz)
40.13966480446928,157.44012134220202,-15.580127053475579,S-Band (2 GHz)
