Distance_km,PathLoss_dB,SINR_dB,Scenario
0.1,91.2583330689493,56.507596137754376,3GPP UMa (2 GHz)
0.1748743718592965,103.56051583726597,44.20541336943771,3GPP UMa (2 GHz)
0.24974874371859299,110.95116774658328,36.814761460120394,3GPP UMa (2 GHz)
0.3246231155778895,116.01649765709341,31.749431549610264,3GPP UMa (2 GHz)
0.39949748743718594,119.85552519291183,27.910404013791847,3GPP UMa (2 GHz)
0.4743718592964824,122.96193088685288,24.80399831985079,3GPP UMa (2 GHz)
0.549246231155779,125.58118295656845,22.18474625013522,3GPP UMa (2 GHz)
0.6241206030150754,127.850047089225,19.915882117478674,3GPP UMa (2 GHz)
0.6989949748743719,129.85289336820915,17.913035838494523,3GPP UMa (2 GHz)
0.7738693467336684,131.646052615057,16.119876591646687,3GPP UMa (2 GHz)
0.8487437185929648,133.26935798820887,14.496571218494807,3GPP UMa (2 GHz)
0.9236180904522614,134.75217052536047,13.013758681343205,3GPP UMa (2 GHz)
0.9984924623115579,136.11681408519527,11.649115121508402,3GPP UMa (2 GHz)
1.0733668341708544,137.38067865038607,10.385250556317601,3GPP UMa (2 GHz)
1.148241206030151,138.55758096977104,9.208348236932636,3GPP UMa (2 GHz)
1.2231155778894474,139.65868236313017,8.107246843573506,3GPP UMa (2 GHz)
1.297989949748744,140.6931283160381,7.072800890665576,3GPP UMa (2 GHz)
1.3728643216080405,141.66850607388287,6.097423132820808,3GPP UMa (2 GHz)
1.4477386934673369,142.5911792983653,5.174749908338384,3GPP UMa (2 GHz)
1.5226130653266334,143.46653747779155,4.299391728912127,3GPP UMa (2 GHz)
1.5974874371859298,144.2991849036918,3.4667443030118648,3GPP UMa (2 GHz)
1.6723618090452264,145.09308597418317,2.6728432325205063,3GPP UMa (2 GHz)
1.747236180904523,145.85167839695424,1.9142508097494328,3GPP UMa (2 GHz)
1.8221105527638193,146.57796243777253,1.1879667689311475,3GPP UMa (2 GHz)
1.8969849246231159,147.27457204703418,0.4913571596694908,3GPP UMa (2 GHz)
1.9718592964824124,147.94383210521684,-0.17790289851316743,3GPP UMa (2 GHz)
2.046733668341709,148.5878049141753,-0.8218757074716336,3GPP UMa (2 GHz)
