Distance_km,PathLoss_dB,SINR_dB,Scenario
0.1,90.0,57.765929206703674,Rural (Baseline)
0.1748743718592965,98.4954158637906,49.27051334291308,Rural (Baseline)
0.24974874371859299,103.9126159313269,43.85331327537678,Rural (Baseline)
0.3246231155778895,107.8982804554882,39.86764875121547,Rural (Baseline)
0.39949748743718594,111.05299182863672,36.712937378066954,Rural (Baseline)
0.4743718592964824,113.66416212609268,34.101767080611,Rural (Baseline)
0.549246231155779,115.89184799389986,31.874081212803816,Rural (Baseline)
0.6241206030150754,117.83439818007992,29.93153102662376,Rural (Baseline)
0.6989949748743719,119.55659187538188,28.20933733132179,Rural (Baseline)
0.7738693467336684,121.10336755493647,26.662561651767206,Rural (Baseline)
0.8487437185929648,122.50718006064557,25.258749146058108,Rural (Baseline)
0.9236180904522614,123.7922350724135,23.97369413429017,Rural (Baseline)
0.9984924623115579,124.9770676745038,22.788861532199874,Rural (Baseline)
1.0733668341708544,126.07618601813843,21.689743188565245,Rural (Baseline)
1.148241206030151,127.10115947986569,20.66476972683799,Rural (Baseline)
1.2231155778894474,128.0613624119519,19.70456679475177,Rural (Baseline)
1.297989949748744,128.96449654172636,18.801432664977312,Rural (Baseline)
1.3728643216080405,129.81696665099258,17.94896255571109,Rural (Baseline)
1.4477386934673369,130.62415636547473,17.141772841228942,Rural (Baseline)
1.5226130653266334,131.39063432324093,16.375294883462743,Rural (Baseline)
1.5974874371859298,132.12031080267732,15.64561840402635,Rural (Baseline)
1.6723618090452264,132.8165584423143,14.949370764389386,Rural (Baseline)
1.747236180904523,133.48230649957432,14.283622707129354,Rural (Baseline)
1.8221105527638193,134.1201153172424,13.645813889461266,Rural (Baseline)
1.8969849246231159,134.7322357844425,13.033693422261166,Rural (Baseline)
1.9718592964824124,135.32065728043716,12.445271926266514,Rural (Baseline)
2.046733668341709,135.88714667867018,11.878782528033497,Rural (Baseline)
2.1216080402010054,136.4332803396676,11.332648867036085,Rural (Baseline)
2.196482412060302,136.9604705527981,10.80545865390556,Rural (Baseline)
2.2713567839195985,137.46998754405865,10.29594166264502,Rural (Baseline)
2.3462311557788946,137.96297791323846,9.802951293465213,Rural (Baseline)
2.421105527638191,138.44048017384162,9.325449032862053,Rural (Baseline)
2.4959798994974878,138.90343792549308,8.862491281210595,Rural (Baseline)
2.5708542713567843,139.35271107889184,8.413218127811831,Rural (Baseline)
2.645728643216081,139.78908546891296,7.976843737790716,Rural (Baseline)
2.720603015075377,140.21328112586733,7.552648080836349,Rural (Baseline)
2.7954773869346736,140.62595942358925,7.139969783114424,Rural (Baseline)
2.87035175879397,141.02772928254439,6.738199924159289,Rural (Baseline)
2.9452261306532668,141.41915257401692,6.346776632686755,Rural (Baseline)
3.0201005025125633,141.80074884575615,5.965180360947528,Rural (Baseline)
3.0949748743718595,142.17299946881917,5.5929297378845035,Rural (Baseline)
3.169849246231156,142.53635128865056,5.22957791805311,Rural (Baseline)
3.2447236180904526,142.89121984986465,4.87470935683902,Rural (Baseline)
3.319597989949749,143.2379922530991,4.527936953604581,Rural (Baseline)
3.3944723618090458,143.577029693192,4.188899513511672,Rural (Baseline)
3.4693467336683423,143.90866972041061,3.85725948629306,Rural (Baseline)
3.5442211055276385,144.23322826022132,3.5327009464823504,Rural (Baseline)
3.619095477386935,144.5510014218946,3.2149277848090776,Rural (Baseline)
3.6939698492462316,144.8622671218963,2.9036620848073653,Rural (Baseline)
3.768844221105528,145.16728654436977,2.5986426623339014,Rural (Baseline)
3.8437185929648248,145.4663054579405,2.2996237487631674,Rural (Baseline)
3.918592964824121,145.7595554054791,2.0063738012245835,Rural (Baseline)
3.9934673366834175,146.04725478125155,1.7186744254521216,Rural (Baseline)
4.068341708542714,146.32960980801062,1.4363193986930582,Rural (Baseline)
4.14321608040201,146.6068154249791,1.1591137817245851,Rural (Baseline)
4.218090452261307,146.87905609630175,0.8868731104019218,Rural (Baseline)
4.292964824120603,147.14650654836393,0.6194226583397437,Rural (Baseline)
4.3678391959799,147.4093324433573,0.35659676334637425,Rural (Baseline)
4.4427135678391965,147.66769099559582,0.09823821110785502,Rural (Baseline)
4.517587939698492,147.92173153632328,-0.15580232961960405,Rural (Baseline)
4.592462311557789,148.1715960320934,-0.40566682538971577,Rural (Baseline)
4.667336683417085,148.41741956122837,-0.6514903545246966,Rural (Baseline)
4.742211055276382,148.65933075235918,-0.8934015456555073,Rural (Baseline)
4.817085427135678,148.8974521886122,-1.1315229819085175,Rural (Baseline)
4.891959798994975,149.13190078062203,-1.3659715739183582,Rural (Baseline)
4.966834170854272,149.36278811121173,-1.5968589045080535,Rural (Baseline)
5.041708542713568,149.5902207542842,-1.8242915475805148,Rural (Baseline)
5.116582914572865,149.81430057020646,-2.048371363502781,Rural (Baseline)
5.191457286432161,150.03512497973549,-2.269195773031811,Rural (Baseline)
5.266331658291458,150.25278721833004,-2.486858011626367,Rural (Baseline)
5.341206030150754,150.46737657250966,-2.70144736580599,Rural (Baseline)
5.41608040201005,150.6789785997605,-2.9130493930568377,Rural (Baseline)
5.490954773869347,150.88767533334388,-3.121746126640204,Rural (Baseline)
5.565829145728643,151.09354547323406,-3.3276162665303843,Rural (Baseline)
5.64070351758794,151.29666456429788,-3.53073535759421,Rural (Baseline)
5.715577889447236,151.49710516272546,-3.7311759560217865,Rural (Baseline)
5.790452261306533,151.69493699162962,-3.9290077849259433,Rural (Baseline)
5.86532663316583,151.8902270866491,-4.124297879945431,Rural (Baseline)
5.940201005025126,152.08303993231647,-4.3171107256127925,Rural (Baseline)
